latitude,longitude,congestion_level,speed_kmh,hour
17.2923162025209,78.31767039000792,13,53.5,1
17.242131816250996,78.64212099170429,4,58.0,0
17.560629763857065,78.38691289954217,38,41.0,15
17.321153209643544,78.5910716193135,89,15.5,18
17.43289028079319,78.46116663518384,95,12.5,21
17.381602183762148,78.32253751322645,17,51.5,16
17.345684624480814,78.40852700786225,3,58.5,15
17.481905976951474,78.51984803748606,61,29.5,16
17.517230985689352,78.62468709124047,63,28.5,9
17.472526274521105,78.37447776173401,41,39.5,22
17.215829454689104,78.34331830349193,37,41.5,17
17.346289862903433,78.33125346095223,40,40.0,22
17.264942951977794,78.63276599322435,93,13.5,16
17.59021467843066,78.41679147552553,50,35.0,2
17.51316722803972,78.52839615772663,16,52.0,4
17.346137144639545,78.38632604211206,10,55.0,19
17.354971014863317,78.40958352338785,65,27.5,23
17.347866909351325,78.62128843488867,53,33.5,15
17.55767224168695,78.40464453921487,73,23.5,23
17.589410123888698,78.30444850262745,38,41.0,1
17.48741974374179,78.53112850762412,3,58.5,23
17.492564959317953,78.48061952736292,94,13.0,16
17.292836256739104,78.3241999600982,19,50.5,17
17.599623627819906,78.54796845359122,18,51.0,13
17.41105612482345,78.43732704491863,82,19.0,23
17.4574045769155,78.59658421683683,23,48.5,23
17.256215209052563,78.37659850597026,32,44.0,15
17.42864228075505,78.4438250550193,33,43.5,11
17.41631355751186,78.51425233556326,27,46.5,16
17.45312713491169,78.43519769147288,20,50.0,8
17.48518908656638,78.53619069245498,61,29.5,1
17.362717798027916,78.63389683245897,73,23.5,0
17.384071371697726,78.52039434750543,61,29.5,20
17.357430247789885,78.4536489335847,60,30.0,23
17.531178148235043,78.59216817058841,89,15.5,7
17.551901579851993,78.40048816352535,86,17.0,22
17.32352521665768,78.64336452041388,31,44.5,11
17.280705312023713,78.36963557529194,28,46.0,15
17.311318118856384,78.6457507218325,75,22.5,7
17.225063893854074,78.57191893234769,65,27.5,6
17.31875470556934,78.51647085426234,57,31.5,21
17.32824436938898,78.35148579099408,50,35.0,14
17.504324050162698,78.4740219557416,94,13.0,1
17.21521301733975,78.41234718829091,57,31.5,7
17.580374815578395,78.30453934854089,72,24.0,12
17.312475284316772,78.45285704814314,69,25.5,15
17.584891155483387,78.45550349536224,95,12.5,12
17.434853219427332,78.35624254660688,25,47.5,17
17.527144444773818,78.59644963505313,33,43.5,3
17.552628954156987,78.62443405679382,97,11.5,10
17.575472980965944,78.5537136268057,89,15.5,9
17.228827543049448,78.3199511851922,18,51.0,16
17.51997400481096,78.56866824523883,92,14.0,2
17.566451816170687,78.61355393677785,68,26.0,1
17.24868100738813,78.63229024071207,12,54.0,3
17.400769892765272,78.59108646765725,56,32.0,12
17.55471729529859,78.56719636488992,87,16.5,21
17.20168269995951,78.51577490871284,50,35.0,22
17.491798009396927,78.53766805752785,73,23.5,10
17.53122579422841,78.44494316711874,27,46.5,8
17.57894561506137,78.58319378368033,48,36.0,10
17.548843977904756,78.33784697069864,30,45.0,22
17.232039207192074,78.36281438423057,67,26.5,18
17.32692837438022,78.50637244719947,25,47.5,4
17.23424288063023,78.44143948940538,87,16.5,7
17.252895809069813,78.53570051302667,45,37.5,21
17.313642969469054,78.36067771983909,23,48.5,16
17.218134333169374,78.49941357057313,33,43.5,12
