latitude,longitude,temperature,precipitation,visibility
17.297881289022992,78.54839626825479,35.8,39.0,5.6
17.389574603061057,78.49272466612298,35.9,44.3,1.8
17.440785656177255,78.54146241528346,21.6,14.4,8.2
17.52892566097751,78.53957227527165,21.5,40.0,4.3
17.54125244008313,78.41584588538808,36.2,13.1,8.1
17.400135862974956,78.44692041458518,20.6,10.7,4.4
17.378343689719173,78.34152303246383,34.5,42.1,7.3
17.47233948351558,78.58157750232557,26.2,11.3,4.6
17.328203594558424,78.42413228683486,20.9,8.0,9.7
17.54049907172218,78.39992341650974,27.8,23.5,4.2
17.222613816213318,78.47686826728457,40.5,25.3,2.5
17.31755147430222,78.47175019876808,32.6,19.3,7.0
17.22835427903213,78.48324159735716,24.8,5.5,9.8
17.31656219442276,78.39538903468916,22.9,5.6,8.1
17.526629820449013,78.512590225941,26.9,0.4,9.7
17.243664819341284,78.39180240089047,29.6,43.1,9.2
17.50492182740567,78.39330159004346,32.0,19.6,1.4
17.420054086302763,78.64491188046917,38.8,10.0,9.5
17.496249983602507,78.58927188747103,39.0,1.6,4.5
17.337232998900816,78.42545969095757,33.9,38.2,4.0
17.40291388068855,78.45681814798951,40.2,35.9,9.3
17.576610042699965,78.57455235224474,21.0,10.7,8.6
17.584442097926566,78.53498466682731,32.1,26.7,9.8
17.534364966693673,78.48520688132452,20.5,16.2,2.6
17.533327226918736,78.46129421418225,31.9,15.3,6.6
17.42501107655471,78.48160024072509,38.5,45.4,4.2
17.2651712631685,78.57873084768283,38.9,26.4,1.6
17.518233622518522,78.62329527932555,26.6,19.1,7.5
17.40933838076943,78.43250313449364,41.8,31.7,2.1
17.234309058897473,78.32217062859405,37.7,14.6,3.6
17.55902552507736,78.35157015402476,29.9,24.3,3.1
17.51784131985502,78.63613103988897,33.3,2.7,9.0
17.326354979828604,78.34545647958598,26.7,47.1,3.7
17.588272868524147,78.38815141513462,20.0,17.0,1.4
17.441186111689863,78.34323509685794,31.2,10.8,8.9
17.52548374020284,78.62891612707887,41.2,46.5,4.8
17.537656712211767,78.48724774573567,26.7,47.0,8.8
17.37493995472147,78.31065125566757,27.1,24.2,8.3
17.434696760120506,78.4478816285207,40.6,26.9,4.2
17.20481457648371,78.57887491592923,27.4,30.9,2.0
17.433940188131835,78.53298702572236,40.8,43.1,3.2
17.323109913495813,78.45384430990335,36.2,23.6,2.1
17.337173778998498,78.42625950728757,30.0,13.7,5.4
17.591488680889533,78.6218091788061,41.8,13.9,2.7
17.463587280271888,78.61765470816502,26.2,17.9,7.3
17.40088018753696,78.5385090550924,29.5,38.1,9.2
17.579860075836784,78.55542244116151,40.4,24.7,2.8
17.589548944930552,78.541663917129,29.3,48.5,6.2
17.596208413612963,78.55892004871701,31.1,2.2,5.2
17.295988301378355,78.39659037315144,20.6,13.6,1.0
17.266467779641737,78.4121887513167,38.1,18.6,8.1
17.47663260472964,78.31549632117465,37.6,33.4,3.1
17.395103274613792,78.31045468513231,27.9,45.4,3.4
17.46195058010345,78.42741640809422,36.6,5.1,3.6
17.29004240508578,78.36773779266676,23.8,36.4,6.9
17.39846672019523,78.56558809305537,25.4,1.8,9.1
17.58974144091753,78.3799789516026,40.9,48.6,4.9
17.346564974222296,78.33194526441315,29.8,40.7,2.2
17.221069815376374,78.5451762882528,21.6,12.7,6.4
17.351171863846645,78.42696048260804,25.2,25.5,8.8
17.4617184667138,78.38081971117592,32.9,36.9,4.9
17.2022954992615,78.39629076229548,33.9,16.2,2.9
17.499709349453184,78.50589408836657,31.5,31.9,6.7
17.299914826663453,78.43651335884273,40.0,29.4,8.2
17.529653720428463,78.54853570027353,36.4,24.7,2.7
17.451320110436466,78.64536371430276,38.1,19.0,2.5
17.341610903108535,78.58817013952289,35.3,46.5,8.4
17.38400748976687,78.49475084602109,20.8,14.9,4.2
17.544099410381936,78.37625304694545,35.9,42.0,1.1
17.366265030988654,78.47123723545035,22.0,29.1,1.2
17.252644325956155,78.60685335167784,21.6,5.8,3.8
17.282716925480408,78.45424369263759,34.6,47.1,7.4
17.51966890516007,78.57450954988222,23.1,19.7,2.9
17.41359423628491,78.37376578115502,34.5,34.4,9.7
17.244906902817455,78.51583998938565,41.3,32.0,3.8
17.522113726331252,78.64647490414539,38.9,46.7,2.0
17.587292128966887,78.62768689932791,37.1,35.5,2.5
17.41319733656562,78.31306564571244,37.7,32.4,2.5
17.266941575265584,78.30555025421661,21.8,37.0,3.2
17.530655443309566,78.43960812917355,23.6,14.8,9.7
17.428200618602727,78.38145540971368,32.9,34.6,5.5
17.356695965100755,78.40325851165166,39.1,25.7,7.4
17.343745362670937,78.53643656363644,40.8,11.1,8.5
17.406006422336304,78.48315382329109,32.0,4.8,1.0
17.354646230819352,78.36820646447877,38.6,12.4,6.3
17.205585493128602,78.56253212899634,39.8,35.0,1.2
17.260716295174564,78.32559634041043,30.7,1.8,1.8
17.414447938629348,78.32142652453729,21.0,10.5,4.9
17.408693042020776,78.49692962115834,29.8,23.7,2.2
17.216074145974748,78.30097501748244,31.3,42.6,2.0
17.41845415109134,78.37464284376841,30.8,31.2,9.8
17.508568750312456,78.30736354515635,23.0,10.8,8.8
17.403027413136968,78.3897784868519,34.5,9.0,4.6
17.469028233275875,78.51935866956256,24.6,29.9,6.7
17.48128916530402,78.58036331245226,23.3,3.3,7.4
17.3619746946336,78.43772579936068,22.6,5.0,4.1
17.314125302294034,78.35246948322124,33.9,30.4,1.1
17.30789246665759,78.57401046014489,39.9,0.8,9.7
17.27163597544679,78.48515588560747,41.7,45.5,2.9
17.297231819740635,78.59730219496757,39.2,27.0,1.7
17.413048894709483,78.5983768000743,41.0,9.9,7.6
17.474321593084795,78.36936808035738,24.6,7.3,1.2
17.530985180930973,78.4449497816661,23.8,24.9,8.5
17.593778825489544,78.50050522964625,39.1,21.7,7.3
17.26035863779873,78.32229327968302,33.6,42.9,7.0
17.383066737380457,78.5572525156877,38.9,6.9,7.1
17.566099148396262,78.49049458538526,24.6,23.5,9.9
