id,city,station_name,latitude,longitude,area,jurisdiction,emergency_number,women_helpdesk,cyber_cell,patrol_units,average_response_time_min,officers_available,safety_rating,open_24x7,last_updated
3aa4b98c-66b4-4c0a-8f80-405b72c226e5,bengaluru,Koramangala Police Station,12.98569,77.550744,Koramangala,Koramangala Sub-Division,100,True,True,15,14,44,7.2,True,2026-07-31T19:24:42.992921+00:00
f18d2fa5-385b-47fb-aa51-2d4fcb11c4f7,bengaluru,Jayanagar Police Station,13.046182,77.728066,Jayanagar,Jayanagar Sub-Division,100,True,False,3,11,12,9.1,True,2026-07-31T19:24:42.992958+00:00
f5432ed1-c3fd-43d8-bc5b-3ee703230081,bengaluru,Yelahanka Police Station,12.885683,77.580735,Yelahanka,Yelahanka Sub-Division,100,False,True,7,5,26,9.1,True,2026-07-31T19:24:42.992976+00:00
75c3afc3-b27e-45b2-9874-eae314679eca,bengaluru,BTM Layout Police Station,12.906921,77.723122,BTM Layout,BTM Layout Sub-Division,100,False,False,7,8,48,8.9,True,2026-07-31T19:24:42.992992+00:00
b964a038-495a-4d51-88ef-0d2844ff7cbc,bengaluru,Jayanagar Police Station,12.852611,77.601758,Jayanagar,Jayanagar Sub-Division,100,True,False,13,4,35,8.6,True,2026-07-31T19:24:42.993041+00:00
30c4aceb-ebea-4c21-84e9-7f2792862c8f,bengaluru,Koramangala Police Station,12.988035,77.666875,Koramangala,Koramangala Sub-Division,100,False,False,6,14,23,9.4,True,2026-07-31T19:24:42.993058+00:00
81411760-579f-4e05-b6ab-004ecaea5a52,bengaluru,Electronic City Police Station,13.073225,77.599444,Electronic City,Electronic City Sub-Division,112,False,True,2,12,21,8.7,True,2026-07-31T19:24:42.993072+00:00
bea33b21-02c2-4d3a-9adc-89d5cf73f2a4,bengaluru,Yelahanka Police Station,13.002666,77.528734,Yelahanka,Yelahanka Sub-Division,100,False,False,10,7,38,9.4,True,2026-07-31T19:24:42.993087+00:00
ccc96626-4c7d-4ef3-8709-8cf5f33a8f58,bengaluru,Ashok Nagar Police Station,13.073412,77.649691,Ashok Nagar,Ashok Nagar Sub-Division,100,False,False,13,8,35,8.6,True,2026-07-31T19:24:42.993105+00:00
90bc007b-99c8-41cc-afbf-83d0c0325461,bengaluru,Hebbal Police Station,12.950548,77.574576,Hebbal,Hebbal Sub-Division,100,False,True,2,12,45,6.3,True,2026-07-31T19:24:42.993118+00:00
0a29ce6d-c8be-4353-b77c-9f31043c493e,bengaluru,Electronic City Police Station,13.022274,77.506803,Electronic City,Electronic City Sub-Division,100,True,True,4,15,24,6.5,True,2026-07-31T19:24:42.993129+00:00
81ec2790-7d62-4dc5-99b7-4c9b5cc5a7a9,bengaluru,Yelahanka Police Station,12.95853,77.511146,Yelahanka,Yelahanka Sub-Division,100,False,True,13,12,20,8.0,True,2026-07-31T19:24:42.993141+00:00
fa3dabc9-414e-4efa-b364-2ea26208c55a,bengaluru,Whitefield Police Station,12.85417,77.637336,Whitefield,Whitefield Sub-Division,100,False,True,12,11,50,6.7,True,2026-07-31T19:24:42.993154+00:00
001bd432-c194-4a0b-b72a-f52d664e5da4,bengaluru,Electronic City Police Station,13.004116,77.761975,Electronic City,Electronic City Sub-Division,100,False,False,5,13,35,6.6,True,2026-07-31T19:24:42.993167+00:00
3bbda51d-4561-4c37-8844-0e1655689854,bengaluru,Indiranagar Police Station,13.032228,77.551879,Indiranagar,Indiranagar Sub-Division,100,False,False,14,10,17,7.9,True,2026-07-31T19:24:42.993179+00:00
ddac58ab-042f-48ed-91a9-78a15b9b6576,bengaluru,Jayanagar Police Station,12.88351,77.649435,Jayanagar,Jayanagar Sub-Division,100,False,False,3,11,17,7.0,True,2026-07-31T19:24:42.993191+00:00
d161bb6f-f25c-4fa8-9eb0-4d49b33e9cac,bengaluru,BTM Layout Police Station,12.967192,77.619566,BTM Layout,BTM Layout Sub-Division,100,False,False,12,12,34,6.4,True,2026-07-31T19:24:42.993203+00:00
acce4d36-1190-4c6b-b08e-8a7300532bcb,bengaluru,Cubbon Park Police Station,12.821372,77.588336,Cubbon Park,Cubbon Park Sub-Division,100,True,True,15,9,24,7.7,True,2026-07-31T19:24:42.993215+00:00
68681257-fb11-41f9-a248-0cc4d241df94,bengaluru,Hebbal Police Station,13.088957,77.555415,Hebbal,Hebbal Sub-Division,100,True,False,8,13,33,9.5,True,2026-07-31T19:24:42.993228+00:00
f23a5e51-b506-40e1-8ece-ea7abc808fb9,bengaluru,Koramangala Police Station,12.812076,77.750061,Koramangala,Koramangala Sub-Division,100,True,True,5,13,35,8.1,True,2026-07-31T19:24:42.993236+00:00
97e1c486-cc28-4ef9-bcbd-4299957c519c,bengaluru,Whitefield Police Station,13.079355,77.689138,Whitefield,Whitefield Sub-Division,100,True,True,8,11,12,6.9,True,2026-07-31T19:24:42.993244+00:00
ce3b9d60-caa7-4a2b-be64-e6b53e992aad,bengaluru,Whitefield Police Station,13.054458,77.701709,Whitefield,Whitefield Sub-Division,100,True,False,9,7,43,8.3,True,2026-07-31T19:24:42.993252+00:00
aadab4f9-1d7a-4052-adce-28406be1eaad,bengaluru,Ashok Nagar Police Station,12.801268,77.532579,Ashok Nagar,Ashok Nagar Sub-Division,100,True,True,6,8,13,9.0,True,2026-07-31T19:24:42.993260+00:00
ed2fa65f-555e-47f6-b430-aa7cee279fde,bengaluru,Electronic City Police Station,13.021063,77.788308,Electronic City,Electronic City Sub-Division,112,True,False,4,9,26,8.9,True,2026-07-31T19:24:42.993267+00:00
29a2994d-8834-4e8b-a1a6-a4dc4f30dd81,bengaluru,Jayanagar Police Station,12.898817,77.652442,Jayanagar,Jayanagar Sub-Division,100,True,False,14,14,26,7.7,True,2026-07-31T19:24:42.993275+00:00
6782b74c-1746-4bad-9e01-a9a93a88a7e0,bengaluru,Whitefield Police Station,13.013099,77.710913,Whitefield,Whitefield Sub-Division,100,False,False,9,11,45,6.0,True,2026-07-31T19:24:42.993283+00:00
5d0e270d-45fc-4798-a1a6-dc6e3d8b2155,bengaluru,Hebbal Police Station,13.069785,77.648908,Hebbal,Hebbal Sub-Division,100,False,True,10,6,18,8.9,True,2026-07-31T19:24:42.993291+00:00
5668bf07-7855-4cc2-9016-034d090bc3db,bengaluru,Electronic City Police Station,13.037613,77.788846,Electronic City,Electronic City Sub-Division,100,True,False,3,14,26,8.4,True,2026-07-31T19:24:42.993298+00:00
1695266b-1835-4752-8b02-3becfadb40cc,bengaluru,Electronic City Police Station,12.859423,77.692058,Electronic City,Electronic City Sub-Division,100,True,True,6,13,17,8.5,True,2026-07-31T19:24:42.993307+00:00
536fbf74-505c-4ee9-9b13-8f3aec54d1cd,bengaluru,Electronic City Police Station,12.922115,77.751667,Electronic City,Electronic City Sub-Division,100,True,True,11,12,27,8.4,True,2026-07-31T19:24:42.993315+00:00
0d3d401d-fc43-4094-8ef0-d4cabf79dd2f,bengaluru,Yelahanka Police Station,12.967964,77.757015,Yelahanka,Yelahanka Sub-Division,100,True,True,4,5,26,7.9,True,2026-07-31T19:24:42.993322+00:00
f6bee07d-3fa0-46b4-9fa4-96840c273d41,bengaluru,Hebbal Police Station,12.844149,77.584582,Hebbal,Hebbal Sub-Division,100,True,True,9,8,16,7.4,True,2026-07-31T19:24:42.993330+00:00
09cd17e3-3139-43cf-8567-a62ec55aeeb6,bengaluru,Hebbal Police Station,13.025978,77.501533,Hebbal,Hebbal Sub-Division,100,False,True,12,9,10,6.6,True,2026-07-31T19:24:42.993338+00:00
11bd65f6-6442-4d4f-81b8-e7ced79e99fc,bengaluru,Jayanagar Police Station,13.013278,77.774824,Jayanagar,Jayanagar Sub-Division,100,True,False,13,5,24,7.6,True,2026-07-31T19:24:42.993347+00:00
190fe052-2ad7-4e56-8d64-a477dc7b1c70,bengaluru,Yelahanka Police Station,12.848698,77.588069,Yelahanka,Yelahanka Sub-Division,100,True,True,11,15,19,6.2,True,2026-07-31T19:24:42.993355+00:00
cf9c1967-eb54-414e-88e4-fa2e8355d080,bengaluru,Electronic City Police Station,12.859722,77.732475,Electronic City,Electronic City Sub-Division,112,False,True,3,8,32,8.4,True,2026-07-31T19:24:42.993363+00:00
56f1bebc-1361-404c-b739-00ff6a75c9b6,bengaluru,Indiranagar Police Station,12.986933,77.616206,Indiranagar,Indiranagar Sub-Division,100,True,True,14,11,29,9.2,True,2026-07-31T19:24:42.993370+00:00
0d03ae1f-9c56-46d9-9b39-cb124605f153,bengaluru,Indiranagar Police Station,12.806439,77.771839,Indiranagar,Indiranagar Sub-Division,100,True,True,9,3,15,6.9,True,2026-07-31T19:24:42.993377+00:00
9a54356f-ad08-4012-82d2-495eceb7bd51,bengaluru,Jayanagar Police Station,13.082188,77.740094,Jayanagar,Jayanagar Sub-Division,100,True,True,8,11,47,7.2,True,2026-07-31T19:24:42.993385+00:00
c60632f5-e933-44cd-9da2-a9d0e8cc9aea,bengaluru,Yelahanka Police Station,13.073846,77.582418,Yelahanka,Yelahanka Sub-Division,100,True,True,4,8,37,7.4,True,2026-07-31T19:24:42.993393+00:00
4d5e2f5d-58cc-49b1-8707-7ccfb64b1f9d,bengaluru,Electronic City Police Station,13.094375,77.512342,Electronic City,Electronic City Sub-Division,100,True,True,3,14,47,8.7,True,2026-07-31T19:24:42.993407+00:00
5dc0d1d7-a537-4974-bbbb-b76564b5f6b0,bengaluru,Koramangala Police Station,12.970593,77.754215,Koramangala,Koramangala Sub-Division,100,True,False,6,14,17,6.7,True,2026-07-31T19:24:42.993415+00:00
f0586484-b415-4138-b29a-78eee8d5e805,bengaluru,Whitefield Police Station,12.909968,77.644889,Whitefield,Whitefield Sub-Division,100,True,False,5,3,36,7.7,True,2026-07-31T19:24:42.993423+00:00
8f82dcfd-168f-47a0-b5fe-ccdfbff3043d,bengaluru,BTM Layout Police Station,12.957767,77.763286,BTM Layout,BTM Layout Sub-Division,100,False,True,14,11,50,7.1,True,2026-07-31T19:24:42.993430+00:00
09836397-71cb-4f1b-a28a-c15abd07937d,bengaluru,BTM Layout Police Station,13.037947,77.538892,BTM Layout,BTM Layout Sub-Division,100,False,True,4,13,40,9.1,True,2026-07-31T19:24:42.993437+00:00
44654880-2c36-4b0f-b49c-92e533e4dcff,bengaluru,Ashok Nagar Police Station,12.81564,77.708934,Ashok Nagar,Ashok Nagar Sub-Division,100,True,False,13,8,25,8.7,True,2026-07-31T19:24:42.993445+00:00
8c3d1ab1-81c1-410c-88f5-7bda0e83d78e,bengaluru,Hebbal Police Station,12.887945,77.653197,Hebbal,Hebbal Sub-Division,100,False,False,8,13,49,7.2,True,2026-07-31T19:24:42.993452+00:00
2ab6fee6-9702-4067-b8b4-b1977d7348a1,bengaluru,BTM Layout Police Station,12.866105,77.555764,BTM Layout,BTM Layout Sub-Division,100,False,False,12,12,47,7.1,True,2026-07-31T19:24:42.993459+00:00
58e5a8c4-611f-4e25-9e58-171cee674154,bengaluru,BTM Layout Police Station,12.848569,77.545715,BTM Layout,BTM Layout Sub-Division,100,False,True,15,8,39,6.7,True,2026-07-31T19:24:42.993467+00:00
6056813c-3b40-4ce9-960f-042ea43c7795,bengaluru,Jayanagar Police Station,12.866372,77.556432,Jayanagar,Jayanagar Sub-Division,100,True,False,10,10,37,9.0,True,2026-07-31T19:24:42.993474+00:00
a29c2d34-2683-478e-b6e3-db7f3cc546cc,bengaluru,Electronic City Police Station,12.986903,77.756206,Electronic City,Electronic City Sub-Division,100,True,True,9,15,12,8.0,True,2026-07-31T19:24:42.993483+00:00
2186a05b-9531-4f89-b132-442656fcb97c,bengaluru,Electronic City Police Station,12.887481,77.754381,Electronic City,Electronic City Sub-Division,100,False,False,6,9,18,7.8,True,2026-07-31T19:24:42.993491+00:00
